"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2025","590.88","592.50","597.13","587.38","18.00K","0.15%"
"05/01/2025","590.00","592.50","596.00","578.00","83.08K","-2.40%"
"04/30/2025","604.50","609.00","609.75","589.50","88.85K","-1.71%"
"04/29/2025","615.00","622.75","623.50","608.25","73.56K","-1.24%"
"04/28/2025","622.75","633.00","633.00","620.25","76.79K","-0.91%"
"04/25/2025","628.50","627.50","631.50","620.25","41.36K","1.05%"
"04/24/2025","622.00","620.50","627.50","618.50","49.07K","0.69%"
"04/23/2025","617.75","634.75","639.00","614.00","89.36K","-1.98%"
"04/22/2025","630.25","624.00","634.25","622.00","58.18K","1.74%"
"04/21/2025","619.50","631.75","631.75","615.75","28.85K","-2.06%"
"04/17/2025","632.50","623.00","637.00","619.50","78.48K","2.02%"
"04/16/2025","620.00","611.00","623.00","603.75","100.40K","1.97%"
"04/15/2025","608.00","612.00","617.75","606.25","82.69K","-0.33%"
"04/14/2025","610.00","608.00","618.00","604.50","79.67K","2.43%"
"04/11/2025","595.50","595.00","607.50","592.25","103.11K","2.85%"
"04/10/2025","579.00","621.50","621.50","599.50","2.49K","0.00%"
"04/09/2025","579.00","591.00","623.75","567.00","45.73K","-5.16%"
"04/08/2025","610.50","612.25","618.50","592.00","51.55K","0.74%"
"04/07/2025","606.00","617.00","632.00","592.50","60.90K","-1.58%"
"04/04/2025","615.75","650.75","651.00","606.00","57.33K","-4.42%"
"04/03/2025","644.25","666.00","676.50","641.00","177.68K","-5.57%"
"04/02/2025","682.25","682.25","692.50","674.25","117.63K","-0.07%"
"04/01/2025","682.75","683.50","687.50","679.50","140.83K","0.11%"
"03/31/2025","682.00","670.25","685.25","664.75","77.80K","2.52%"
"03/28/2025","665.25","674.25","676.00","664.00","67.27K","-1.04%"
"03/27/2025","672.25","674.50","675.25","667.75","82.01K","-0.52%"
"03/26/2025","675.75","672.75","678.50","670.00","85.72K","1.27%"
"03/25/2025","667.25","667.00","674.25","663.75","99.79K","0.07%"
"03/24/2025","666.75","664.50","670.00","660.75","97.51K","0.72%"
"03/21/2025","662.00","663.50","664.75","657.75","60.23K","0.27%"
"03/20/2025","660.25","656.00","663.75","650.50","80.65K","1.19%"
"03/19/2025","652.50","648.00","657.00","643.00","93.39K","0.69%"
"03/18/2025","648.00","648.00","659.50","644.25","108.25K","-0.12%"
"03/17/2025","648.75","644.25","656.00","644.25","109.72K","1.25%"
"03/14/2025","640.75","641.25","647.00","639.25","75.92K","-0.50%"
"03/13/2025","644.00","650.00","652.75","638.25","128.40K","-1.90%"
"03/12/2025","656.50","653.50","657.75","648.00","165.10K","0.50%"
"03/11/2025","653.25","644.00","657.75","640.50","164.33K","0.77%"
"03/10/2025","648.25","654.75","661.00","644.50","114.72K","-1.33%"
"03/07/2025","657.00","649.75","669.75","649.00","191.99K","1.12%"
"03/06/2025","649.75","654.25","660.50","647.75","144.44K","1.17%"
"03/05/2025","642.25","662.25","665.75","641.75","132.63K","-2.98%"
"03/04/2025","662.00","667.50","668.75","655.50","122.28K","-1.38%"
"03/03/2025","671.25","680.00","683.50","661.50","109.75K","-2.82%"
"02/28/2025","690.75","698.00","698.00","688.50","32.41K","-0.47%"
"02/27/2025","694.00","684.25","700.50","683.00","40.27K","1.72%"
"02/26/2025","682.25","697.50","699.00","677.75","77.11K","-1.87%"
"02/25/2025","695.25","714.00","719.00","694.00","44.99K","-2.35%"
"02/24/2025","712.00","712.00","716.25","707.25","37.78K","-0.70%"
"02/21/2025","717.00","732.25","733.50","711.50","60.93K","-2.42%"
"02/20/2025","734.75","724.75","736.75","721.25","78.83K","1.45%"
"02/19/2025","724.25","717.25","728.25","715.75","83.24K","0.66%"
"02/18/2025","719.50","715.00","726.00","712.75","110.84K","1.12%"
"02/17/2025","711.50","712.50","716.00","707.25","55.45K","-0.42%"
"02/14/2025","714.50","713.00","722.50","711.50","107.92K","0.78%"
"02/13/2025","709.00","712.25","714.75","699.75","125.18K","-3.37%"
"02/12/2025","733.75","736.50","736.50","729.00","0.74K","0.00%"
"02/11/2025","733.75","720.50","739.50","719.00","42.66K","2.19%"
"02/10/2025","718.00","709.75","722.00","709.75","49.25K","1.70%"
"02/07/2025","706.00","702.25","710.50","702.25","45.61K","1.58%"
"02/06/2025","695.00","697.25","700.00","689.50","143.02K","-0.25%"
"02/05/2025","696.75","712.00","713.00","696.00","102.66K","-1.73%"
"02/04/2025","709.00","706.50","715.00","693.75","135.07K","-0.46%"
"02/03/2025","712.25","719.25","726.00","701.00","192.29K","0.14%"
"01/31/2025","711.25","709.00","716.00","702.50","42.05K","0.25%"
"01/30/2025","709.50","706.50","714.75","697.75","38.30K","0.32%"
"01/29/2025","707.25","704.50","709.25","698.00","44.80K","0.89%"
"01/28/2025","701.00","707.50","714.75","699.75","42.37K","-0.46%"
"01/27/2025","704.25","721.50","721.50","697.50","50.09K","-2.42%"
"01/24/2025","721.75","717.75","729.00","716.00","57.61K","0.77%"
"01/23/2025","716.25","721.25","729.50","714.25","76.88K","-1.48%"
"01/22/2025","727.00","739.25","742.00","721.25","105.61K","-1.36%"
"01/21/2025","737.00","746.75","753.50","727.75","98.29K","-1.31%"
"01/20/2025","746.75","760.50","766.50","745.00","73.01K","-0.90%"
"01/17/2025","753.50","759.50","766.75","747.25","102.65K","-0.13%"
"01/16/2025","754.50","766.50","768.25","750.25","118.52K","-0.66%"
"01/15/2025","759.50","747.75","767.75","742.00","114.60K","2.43%"
"01/14/2025","741.50","749.75","750.00","737.75","125.25K","-1.33%"
"01/13/2025","751.50","742.75","769.50","742.75","162.21K","5.99%"
"01/10/2025","709.00","710.00","732.50","710.00","1.67K","0.00%"
"01/09/2025","709.00","699.00","711.75","695.00","44.55K","2.20%"
"01/08/2025","693.75","706.50","708.75","693.25","41.81K","-1.25%"
"01/07/2025","702.50","701.50","707.75","696.75","53.93K","-0.39%"
"01/06/2025","705.25","706.00","715.75","698.25","57.43K","0.32%"
"01/03/2025","703.00","707.75","710.00","701.00","45.09K","-1.02%"
"01/02/2025","710.25","697.00","713.25","694.25","33.36K","2.16%"
"12/31/2024","695.25","693.25","700.25","689.50","21.57K","0.43%"
"12/30/2024","692.25","679.50","698.00","679.50","38.18K","1.73%"
"12/27/2024","680.50","667.50","682.50","666.75","22.42K","1.38%"
"12/26/2024","671.25","675.75","680.25","666.50","12.01K","-0.41%"
"12/24/2024","674.00","675.75","679.50","671.50","20.69K","0.67%"
"12/23/2024","669.50","676.50","683.25","668.25","37.50K","-0.85%"
"12/20/2024","675.25","677.00","679.50","668.00","51.32K","-0.59%"
"12/19/2024","679.25","683.25","689.00","677.25","55.58K","-1.66%"
"12/18/2024","690.75","678.00","691.75","676.50","83.57K","2.60%"
"12/17/2024","673.25","686.75","687.75","670.50","66.45K","-1.82%"
"12/16/2024","685.75","692.50","692.50","682.25","78.80K","-0.51%"
"12/13/2024","689.25","678.75","692.50","677.75","102.38K","1.36%"
"12/12/2024","680.00","684.00","686.75","679.50","1.34K","0.00%"
"12/11/2024","680.00","667.00","683.00","666.25","18.19K","1.83%"
"12/10/2024","667.75","662.50","672.25","660.00","50.86K","0.75%"
"12/09/2024","662.75","647.00","665.00","647.00","41.10K","2.32%"
"12/06/2024","647.75","657.25","657.75","645.00","48.53K","-1.63%"
"12/05/2024","658.50","660.75","666.25","654.50","30.37K","-1.16%"
